total_logons,unique_devices_logon,weekend_logons,after_hours_logons,avg_logon_hour,std_logon_hour,total_emails_sent,unique_recipients,avg_email_size,total_email_size,max_email_size,after_hours_emails,total_file_ops,unique_files,unique_devices_file,files_to_removable,files_from_removable,after_hours_file_ops,total_device_events,unique_devices_used,accessed_decoy
97,1,0,48,13.443298969072165,5.528277821356584,259,162,369554.04633204633,95714498,9420052,16,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.45360824742268,4.52313639929175,270,188,514684.6074074074,138964844,7627231,24,9.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1
97,1,0,0,11.958762886597938,4.0205656882593335,268,183,318341.3694029851,85315487,5567455,0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
121,13,0,0,12.983471074380166,4.5697984475510145,264,184,669684.1628787878,176796619,9976190,0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
141,6,0,20,12.099290780141844,3.8882698402447895,31,23,1277116.935483871,39590625,6420804,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,49,11.45360824742268,4.52313639929175,276,170,433998.22463768115,119783510,6728669,41,7.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1
97,1,0,0,12.45360824742268,4.52313639929175,278,180,217578.48920863308,60486820,7590072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,49,11.463917525773196,4.5347313768065485,91,64,577568.6153846154,52558744,8286987,1,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
167,17,0,20,11.574850299401197,3.2140639470564336,265,136,713162.4301886793,188988044,7355591,9,650.0,263.0,1.0,212.0,366.0,2.0,404.0,1.0,1
97,1,0,19,11.484536082474227,3.9636720192630293,275,198,265610.4254545455,73042867,9360407,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,5,0,53,11.857142857142858,4.973832625753603,445,280,288325.0404494382,128304643,8046747,38,221.0,154.0,1.0,66.0,131.0,26.0,1141.0,1.0,1
163,9,0,42,11.56441717791411,4.9391817308707395,305,147,612903.1081967213,186935448,6315558,6,242.0,108.0,1.0,71.0,140.0,0.0,58.0,1.0,1
97,1,0,49,10.969072164948454,4.032300853336877,279,156,346515.29032258067,96677766,7057442,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
135,1,0,0,12.577777777777778,3.879657368058722,429,257,402361.4871794872,172613078,7373788,0,23.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.948453608247423,5.025707110324166,463,291,504821.23110151186,233732230,9567371,14,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,47,11.97938144329897,5.018672179644272,30,22,504671.5333333333,15140146,4089115,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
203,13,46,12,13.12807881773399,4.24886120487731,356,161,737891.6853932585,262689440,7922265,0,33.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
161,15,0,49,11.24223602484472,3.251492729338957,30,21,862196.4333333333,25865893,7557357,3,360.0,156.0,1.0,122.0,202.0,20.0,129.0,1.0,1
97,1,0,0,12.45360824742268,4.52313639929175,266,143,169123.9060150376,44986959,2749970,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
121,1,24,0,11.96694214876033,4.0164949153408225,119,90,472858.5210084034,56270164,6063994,0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,10.969072164948454,4.032300853336877,93,70,388817.6451612903,36160041,6107597,3,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,48,13.938144329896907,6.030848532389,279,170,422067.0394265233,117756704,7059690,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
132,1,0,24,12.31060606060606,4.360006610677767,279,160,537298.4480286739,149906267,7280033,1,20.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
103,1,0,27,11.79611650485437,4.975152423127593,92,74,871505.6521739131,80178520,6693360,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,0,12.969072164948454,4.556253962612412,270,179,465143.23703703703,125588674,8269533,0,17.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,22,11.474226804123711,4.015835279202911,91,70,186108.16483516485,16935843,3563421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
194,13,36,61,11.68041237113402,3.71677723164716,116,63,391596.1293103448,45425151,8704587,7,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
136,1,0,19,11.713235294117647,3.429519107278678,30,25,596952.6666666666,17908580,4446864,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
169,4,45,62,11.822485207100591,6.011236777611246,615,291,301128.77398373984,185194196,7228820,0,114.0,77.0,1.0,40.0,58.0,2.0,1575.0,1.0,1
97,1,0,49,11.948453608247423,5.025707110324166,463,291,364267.3153347732,168655767,6889022,67,14.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1
141,5,0,49,11.02836879432624,3.4204077919188594,27,23,615760.7777777778,16625541,5241867,2,451.0,96.0,1.0,136.0,270.0,55.0,38.0,1.0,1
146,2,0,7,13.301369863013699,4.261082690671548,302,148,518077.4867549669,156459401,7297273,1,79.0,51.0,1.0,20.0,43.0,0.0,140.0,1.0,1
97,1,0,49,11.948453608247423,5.025707110324166,279,196,415647.22222222225,115965575,6007998,13,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
139,1,0,49,11.467625899280575,3.815115167736419,279,190,621448.3870967742,173384100,9388495,28,444.0,169.0,1.0,146.0,251.0,64.0,133.0,1.0,1
166,15,0,49,11.698795180722891,3.63729816396077,313,183,494332.6549520767,154726121,7548666,15,286.0,161.0,1.0,91.0,170.0,8.0,1136.0,1.0,1
103,1,2,55,12.106796116504855,5.805529178831098,273,141,492627.4212454212,134487286,8025200,13,94.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,1
68,3,2,33,11.308823529411764,5.4314104513267445,459,288,449329.76470588235,206242362,8787329,79,290.0,201.0,1.0,154.0,62.0,57.0,526.0,1.0,1
97,1,0,0,12.948453608247423,4.576596110513018,445,280,326329.9235955056,145216816,8916963,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,0,12.948453608247423,5.025707110324166,93,71,340884.48387096776,31702257,8154068,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,49,11.45360824742268,4.52313639929175,273,178,271200.47985347983,74037731,5982648,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
155,10,0,23,12.03225806451613,3.8332437771485623,300,147,357635.17,107290551,11636810,9,225.0,115.0,1.0,61.0,142.0,0.0,132.0,1.0,1
162,18,0,49,11.598765432098766,3.7473964072186052,30,20,861614.3,25848429,5292875,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
134,1,0,0,12.783582089552239,4.275057824519462,276,190,648036.4673913043,178858065,8869879,0,807.0,264.0,1.0,265.0,454.0,0.0,269.0,1.0,1
166,18,0,68,13.24698795180723,4.890853240288014,267,192,647086.5355805244,172772105,8283648,38,28.0,7.0,1.0,0.0,0.0,6.0,0.0,0.0,1
97,1,0,27,13.536082474226804,5.025066035366483,272,158,312210.35294117645,84921216,9912508,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,20,11.618556701030927,4.116641275990538,275,167,336460.7927272727,92526718,4658525,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
135,1,0,21,12.333333333333334,4.3193421279068005,277,181,660688.4693140794,183010706,7526315,0,22.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.948453608247423,5.025707110324166,461,289,241069.48156182212,111133031,5842920,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,0,11.958762886597938,4.0205656882593335,275,160,358738.4072727273,98653062,5367923,0,19.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1
107,5,2,23,11.560747663551401,3.9767664168063517,275,166,276907.96,76149689,4729026,4,2037.0,794.0,1.0,723.0,1136.0,15.0,1144.0,1.0,1
97,1,0,0,12.948453608247423,5.025707110324166,279,170,476959.70609318995,133071758,8937119,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
115,1,18,58,11.460869565217392,4.519522868237502,332,200,638642.3313253012,212029254,9339889,26,694.0,142.0,1.0,222.0,395.0,23.0,50.0,1.0,1
155,1,9,18,11.787096774193548,4.848332283593235,479,294,341150.2922755741,163410990,8254606,0,51.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1
149,7,0,0,12.87248322147651,4.167585000679921,90,54,872873.1333333333,78558582,7282584,0,14.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,48,14.030927835051546,5.587287669804968,30,26,545865.5333333333,16375966,4132105,2,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
117,1,5,19,11.290598290598291,4.806711954275643,30,21,355408.13333333336,10662244,1989526,0,2088.0,521.0,1.0,695.0,1204.0,33.0,1059.0,1.0,1
97,1,0,45,11.505154639175258,4.497971096645052,92,64,581391.1847826086,53487989,7680302,1,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
166,17,0,49,11.421686746987952,3.5865759206534547,90,66,973864.0111111111,87647761,7189679,11,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,25,11.505154639175258,4.108232870661986,279,178,281393.32616487454,78508738,6959420,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,8,0,53,11.18918918918919,4.836440301622133,327,164,344276.39755351684,112578382,6114840,48,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,10.958762886597938,4.0205656882593335,263,173,594533.3269961977,156362265,7236947,35,34.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1
144,5,0,49,12.090277777777779,4.645342346555903,31,23,712153.1612903225,22076748,3330319,2,446.0,191.0,1.0,119.0,261.0,24.0,131.0,1.0,1
142,5,0,0,12.316901408450704,3.442268999156108,452,231,513261.360619469,231994135,11159572,0,271.0,124.0,1.0,77.0,150.0,0.0,216.0,1.0,1
157,1,41,23,11.738853503184714,5.0359559691555,468,155,536254.905982906,250967296,7371745,0,210.0,48.0,1.0,18.0,31.0,0.0,72.0,1.0,1
97,1,0,49,11.463917525773196,4.5347313768065485,273,175,373681.2710622711,102014987,5748882,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,19,0,23,12.0,3.6357853224912233,260,134,536777.2961538462,139562097,13711708,6,654.0,254.0,1.0,197.0,377.0,0.0,412.0,1.0,1
97,1,0,0,12.45360824742268,4.52313639929175,31,25,474741.1935483871,14716977,6078680,0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,19,12.02061855670103,4.5045795712143955,338,108,234935.63905325445,79408246,7359351,10,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
204,21,43,65,11.338235294117647,3.728245116512251,410,179,527800.3,216398123,7108548,20,392.0,176.0,1.0,115.0,220.0,21.0,168.0,1.0,1
97,1,0,48,13.443298969072165,5.528277821356584,31,24,285961.6451612903,8864811,1752823,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
141,5,0,50,13.808510638297872,4.728205479002762,92,63,640782.554347826,58951995,4161218,9,398.0,171.0,1.0,133.0,221.0,57.0,276.0,1.0,1
186,19,4,62,11.71505376344086,4.193880902472182,30,22,668398.9666666667,20051969,2447893,1,1248.0,312.0,1.0,376.0,744.0,21.0,113.0,1.0,1
143,4,0,21,11.93006993006993,3.8321294592247845,433,197,350159.21709006926,151618941,5039693,7,73.0,50.0,1.0,25.0,41.0,0.0,147.0,1.0,1
97,1,0,0,11.463917525773196,3.517994977226917,270,165,429580.6074074074,115986764,8113193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,22,11.577319587628866,4.1176324395478145,93,75,241399.7741935484,22450179,7053848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,22,11.484536082474227,4.0262508461705,271,170,506938.73800738005,137380398,6974644,13,16.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1
97,1,0,22,12.030927835051546,4.576783824021111,257,169,498701.9805447471,128166409,7122609,5,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.969072164948454,5.048625242428671,31,26,525117.7096774194,16278649,4497802,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
132,1,0,0,12.856060606060606,4.338945901746599,266,158,550306.7631578947,146381599,7923535,0,29.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1
166,4,27,57,13.22289156626506,4.683143862476969,398,133,678360.8567839196,269987621,8112468,26,46.0,11.0,1.0,0.0,0.0,6.0,0.0,0.0,1
168,11,18,0,12.095238095238095,3.3467082678949405,34,22,653243.4411764706,22210277,2481223,0,133.0,83.0,1.0,38.0,78.0,0.0,174.0,1.0,1
97,1,0,49,12.010309278350515,5.5254993088121775,440,281,441798.97045454546,194391547,7597641,43,24.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,1
97,1,0,49,10.474226804123711,3.5299102429132745,277,180,210433.62093862816,58290113,5799720,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
156,14,0,20,12.429487179487179,4.161439235350192,263,123,696799.0076045628,183258139,8860948,3,689.0,280.0,1.0,222.0,404.0,0.0,264.0,1.0,1
97,1,0,29,13.505154639175258,5.097229049812682,92,71,603439.4891304348,55516433,5748910,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,0,13.010309278350515,4.617662750607771,279,201,233962.8494623656,65275635,8439292,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,23,11.958762886597938,4.525201482100907,261,160,255805.16091954024,66765147,6040714,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,20,12.536082474226804,5.045752866830394,29,21,873873.2413793104,25342324,6495854,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,48,13.443298969072165,5.528277821356584,267,173,290346.71535580524,77522573,10925535,13,21.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,1
97,1,0,48,13.443298969072165,5.528277821356584,431,245,638904.9675174014,275368041,9680331,13,37.0,16.0,1.0,0.0,0.0,9.0,0.0,0.0,1
389,144,0,228,12.195372750642674,7.491086055169607,341,230,326601.9970674487,111371281,5520607,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
137,3,0,24,12.474452554744525,4.306425247387366,278,166,462089.1510791367,128460784,6529797,0,142.0,53.0,1.0,40.0,23.0,0.0,52.0,1.0,1
97,1,0,49,11.948453608247423,5.025707110324166,454,278,417784.95814977976,189674371,8520663,30,85.0,14.0,1.0,0.0,0.0,4.0,0.0,0.0,1
97,1,0,49,11.938144329896907,5.514780202989528,271,169,323145.9852398524,87572562,6414367,36,21.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1
140,2,0,0,12.607142857142858,3.8453867129653894,456,292,486061.9583333333,221644253,6611496,0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,23,12.463917525773196,5.035420074478443,90,68,437657.9,39389211,3448305,0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1
131,1,0,49,11.526717557251908,3.9503227604741546,91,59,696073.5054945055,63342689,5429920,4,333.0,164.0,1.0,101.0,185.0,7.0,280.0,1.0,1
146,1,1,38,11.397260273972602,4.36677021347672,532,291,529625.7819548872,281760916,7192001,12,2020.0,732.0,1.0,629.0,1083.0,55.0,1016.0,1.0,1
97,1,0,49,10.958762886597938,4.0205656882593335,31,28,289978.1612903226,8989323,1980565,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
135,1,0,49,12.311111111111112,4.711793185707074,275,133,650933.4690909091,179006704,9684543,3,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
169,17,0,19,12.349112426035504,4.056448692296937,265,140,561010.8339622641,148667871,7328232,0,81.0,45.0,1.0,17.0,32.0,0.0,128.0,1.0,1
140,4,0,52,12.642857142857142,4.708894734407725,279,136,542501.5448028673,151357931,7512750,9,20.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1
97,1,0,22,12.494845360824742,5.045880562688833,277,122,384073.72202166065,106388421,10476621,6,14.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1
134,1,0,49,11.522388059701493,3.869519248782522,432,237,427456.45601851854,184661189,7500075,82,216.0,123.0,1.0,51.0,111.0,24.0,364.0,1.0,1
97,1,0,0,12.948453608247423,5.025707110324166,93,69,191928.90322580645,17849388,5236360,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,50,12.948453608247423,5.566587700326796,90,63,508423.5111111111,45758116,5927552,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,0,11.958762886597938,4.0205656882593335,31,24,136780.87096774194,4240207,695341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,49,11.948453608247423,5.566587700326794,465,290,500554.63655913976,232757906,9807750,67,38.0,10.0,1.0,0.0,0.0,7.0,0.0,0.0,1
97,1,0,0,12.948453608247423,5.025707110324166,429,237,402849.2610722611,172822333,8471538,0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
135,1,19,79,10.948148148148148,6.352010515563449,312,153,506894.9871794872,158151236,8097827,31,646.0,196.0,1.0,216.0,372.0,73.0,50.0,1.0,1
97,1,0,0,11.969072164948454,4.032300853336877,451,284,389574.6053215078,175698147,11159572,0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
151,1,7,35,11.642384105960264,4.4532300949025405,267,176,386066.3333333333,103079711,8190877,1,47.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1
97,1,0,49,11.45360824742268,4.52313639929175,277,125,235202.07220216608,65150974,5831628,12,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
109,7,0,52,13.18348623853211,5.328409424290181,520,340,475556.67307692306,247289470,7348681,5,2107.0,580.0,1.0,687.0,1220.0,6.0,1122.0,1.0,1
97,1,0,49,11.474226804123711,4.546273161212092,276,185,391388.70652173914,108023283,5387546,12,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
131,1,0,0,12.13740458015267,3.496731130154883,274,177,494375.8065693431,135458971,9360407,0,16.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1
111,2,12,109,13.045045045045045,6.020249749255179,293,181,387963.10921501706,113673191,8285982,12,2287.0,612.0,1.0,752.0,1342.0,219.0,1288.0,1.0,1
385,142,0,257,12.542857142857143,7.9574949695539345,336,208,453358.8244047619,152328565,7222431,1,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,19,12.02061855670103,4.5045795712143955,273,174,459693.11355311354,125496220,8543685,5,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.969072164948454,5.048625242428672,92,68,298688.3695652174,27479330,4440304,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,49,11.948453608247423,5.025707110324166,266,137,719975.2932330827,191513428,8209048,63,146.0,98.0,1.0,42.0,86.0,9.0,1134.0,1.0,1
97,1,0,49,11.463917525773196,4.5347313768065485,29,23,375090.5517241379,10877626,4922977,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,49,10.958762886597938,4.0205656882593335,274,156,207924.2080291971,56971233,6161571,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
121,2,0,45,11.669421487603305,5.438119205742714,94,67,537675.3191489362,50541480,4766020,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,20,11.958762886597938,4.4626167719857195,422,252,355048.92180094786,149830645,7593390,4,25.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1
141,7,0,51,10.709219858156029,3.8536420752548177,279,152,807017.2401433692,225157810,8783303,53,91.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,1
129,17,0,0,12.108527131782946,3.5865205764028785,27,24,860256.6296296297,23226929,4883232,0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,21,11.54639175257732,4.067197588012078,275,172,569170.8727272727,156521990,7255903,2,23.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1
132,1,0,23,12.053030303030303,3.9448766540753346,277,131,447176.6281588448,123867926,6578047,1,274.0,99.0,1.0,41.0,100.0,2.0,68.0,1.0,1
132,1,0,22,12.113636363636363,3.951321601832777,275,185,481974.56,132543004,7241670,2,73.0,34.0,1.0,15.0,25.0,3.0,67.0,1.0,1
134,1,0,49,11.156716417910447,3.494043217992891,92,58,705011.5760869565,64861065,5603606,5,756.0,365.0,1.0,207.0,401.0,13.0,283.0,1.0,1
97,1,0,49,11.45360824742268,4.52313639929175,277,170,173783.7833935018,48138108,5641935,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,0,11.989690721649485,4.055589880442858,461,301,236814.52277657267,109171495,5027259,0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.45360824742268,4.52313639929175,267,162,416558.0449438202,111220998,8568594,38,11.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1
97,1,0,21,12.041237113402062,4.5664481222946405,269,183,256295.9776951673,68943618,7140562,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,0,11.958762886597938,4.0205656882593335,30,20,870879.5,26126385,4691438,0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
